it train loss,it val loss
1.9189978423500667,
,0.9173807327236448
0.8276383651007456,
,0.7058037201208728
0.6639910572190362,
,0.577291846701077
0.564608055907599,
,0.5011814724121775
0.500090797155067,
,0.44782479996127744
0.4545115218104374,
,0.4134256187826395
0.4207053545719099,
,0.3898932927421161
0.39585909650811407,
,0.36745064072310923
0.37661473710165283,
,0.3499729084383164
0.3608450094376089,
,0.3346503491646477
0.3472336072449597,
,0.3222046233979719
0.33603871226287085,
,0.31659815146454745
0.32706456955039087,
,0.30510620501424585
0.3188553392112799,
,0.29832522653575455
0.31148280457211885,
,0.2926013897572245
0.30488770111999264,
,0.2851961027564747
0.29897539024431524,
,0.27903548556246927
0.2936107944674976,
,0.27403689452580043
0.2888656700120848,
,0.2705249390697905
0.2841509042787249,
,0.2667685931282384
0.28028247100535675,
,0.2611245629244617
0.2761725145393967,
,0.25740481027002843
0.2728965702935468,
,0.2571070065189685
0.27012468196779715,
,0.2522441852039525
0.2667926187785501,
,0.24892593568989207
0.2638199714170189,
,0.24712235743978195
0.2613926918283903,
,0.2441160862999303
0.2587099351854799,
,0.24098922064793962
0.25662766190416425,
,0.23921756824212415
0.2539457031324334,
,0.2362782767574702
0.2516514994011943,
,0.23355133554765156
0.24988863668901398,
,0.23243239710905722
0.24845183885130603,
,0.22987270222178527
0.2472146395882034,
,0.2309518525643008
0.24716665451250489,
,0.2290264259225556
0.2474314284875534,
,0.230494990040149
0.24693527727290687,
,0.22970833610743285
0.24657499364908608,
,0.23060523138514588
0.24632549044136393,
,0.22992858939937183
0.2465442294747713,
,0.22903264574706556
0.2463658282777848,
,0.22806182205677034
0.24583305706052447,
,0.22907800155558755
0.2461509364599843,
,0.23084231593779156
0.246115705930066,
,0.2298319945377963
0.24574766696114145,
,0.22788372098335197
0.24527800838857924,
,0.22968359821076903
